Ticker,MinVol_Weight,MaxSharpe_Weight,TargetReturn_12.30%_Weight,EqualWeight_Weight
REA.AX,0.0004963709085555583,0.00380002410115957,0.012744107479448354,0.010526315789473684
PME.AX,0.00047461704909112877,0.01430653307903431,0.0026886008512638526,0.010526315789473684
RMD.AX,0.018618241412597412,0.012197650589885601,0.015049090986978852,0.010526315789473684
SUN.AX,0.0029617728925317444,0.01972245061376344,0.009015193769505983,0.010526315789473684
COL.AX,0.01569801809666946,0.00828880777454522,0.018498498472774707,0.010526315789473684
SIG.AX,0.01878167775696916,0.019468909795189494,0.006147742183580575,0.010526315789473684
QAN.AX,0.02018878653860081,5.978749750411615e-05,0.01776822220949781,0.010526315789473684
STO.AX,0.018589799061099754,0.019872618023185715,0.003401389978938482,0.010526315789473684
TCL.AX,0.01748466937799392,0.0199640260033116,0.015584706769258692,0.010526315789473684
S32.AX,0.0012904555166469301,0.014265565020317932,0.012610389415150244,0.010526315789473684
